id;type;materiau;lieu;latitude;longitude;date_installation;etat;remarques
B-001;banc;bois;Avenue de la Gare;;;08.04.2019;à remplacer;
1002;Banc;bois;Rue du Lac;46,77932212;6,637371232;01.10.2023;bon;
B_3;banc;bois;Rue du Casino;46,77885475;6,639355991;2020;bon;sous un arbre
B_4;Banc;bois;HEIG-VD;46,78;6,66;février 2021;usé;
B-005;banc;bois;Place de la Gare;46,78106843;6,64157228;09.07.2016;bon;
1006;banc public;bois;Place de la Gare;46,78208324;6,641524;08.12.2023;bon;
B_7;Banc;bois;Place Pestalozzi;46,77850749;6,640148663;2020;bon;
B-008;Banc;bois;Rue du Milieu;46,77893365;6,639979194;24.04.2017;usé;
B-009;banc public;bois;Y-Parc;46,76481563;6,628153421;05.02.2015;à remplacer;
B-010;banc;bois;HEIG-VD;46,78115305;6,658205193;18.11.2016;usé;sous un arbre
1011;banc;bois;Chemin de Maillefer;46,78101226;6,655518258;28.02.2023;bon;
1012;banc;bois;Rue Haldimand;46,78;6,65;04.01.2022;usé;
B-013;banc;bois;Chemin de Maillefer;46,78117055;6,656742981;16.11.2017;à remplacer;
B_14;banc public;bois;Rue du Milieu;;;2021-11-21;usé;
B-015;Banc;bois;Chemin de Maillefer;46,78157542;6,655313372;23.02.2015;usé;offert par le Lions Club
B-016;Banc;Métal;Rue de la Maison Rouge;46,78;6,64;19.12.2017;usé;
1017;banc;Métal;Route de Lausanne;46,76574288;6,641578676;2022;bon;
B-018;banc public;métal;Rue du Casino;46,78006955;6,638156654;15.05.2017;bon;
B-019;Banc;metal;Avenue de la Gare;46,78;6,64;14.03.2018;usé;
B_20;Banc;Métal;Centre sportif;;;décembre 2021;usé;
1021;banc;Métal;Avenue de la Gare;46,78012818;6,64129732;2022-09-28;bon;
B-022;banc public;métal;Y-Parc;46,76510436;6,627706192;20.10.2018;bon;
B-023;banc public;Métal;Quai de Nogent;46,78490298;6,635316069;05.07.2019;bon;
1024;banc;metal;Avenue de la Gare;46,78;6,64;avril 2023;bon;
1025;banc;métal;HEIG-VD;46,78208787;6,658448717;mai 2023;bon;offert par le Lions Club
1026;banc public;métal;Rue du Milieu;46,78;6,64;2023-08-09;bon;
1027;Banc;métal;Route de Lausanne;46,77;6,64;04.01.2023;bon;face au lac
B-028;Banc;metal;Quai de Nogent;46,79;6,64;04.11.2018;usé;
B-029;Banc;metal;Rue du Casino;46,7799598;6,638172953;24.03.2015;usé;
1030;banc;métal;Rue du Lac;46,78;6,64;juin 2022;bon;
1031;Banc;métal;Avenue des Sports;46,77877368;6,651261212;juin 2023;bon;
B_32;banc public;metal;Y-Parc;46,76529897;6,628704421;2021;bon;plaque commémorative
B_33;Banc;métal;Rue de la Plaine;46,77985343;6,642843841;2020;bon;
B-034;banc;métal;Rue des Pêcheurs;46,76845721;6,635170659;18.07.2019;bon;
1035;banc;Métal;Rue de la Maison Rouge;46,77841271;6,640736301;décembre 2022;bon;
B-036;Banc;métal;Rue du Lac;46,77831653;6,637363106;02.01.2017;usé;
B_37;banc;Métal;Route de Lausanne;46,76555015;6,641486576;2021-04-05;bon;
B-038;banc public;Métal;Passage de l'Hôtel de Ville;46,78085084;6,640507645;22.08.2017;bon;
1039;Banc;métal;Rue du Casino;46,77908279;6,638703796;mai 2022;bon;
B-040;Banc;metal;Parc des Rives;46,78;6,64;08.03.2017;bon;sous un arbre
L-001;Lampadaire;sodium;Avenue de la Gare;46,78047778;6,641623979;2015;usé;
L-002;Lampadaire;sodium;Place de la Gare;46,78112217;6,641570198;2016-08-08;à remplacer;
L-003;lampadaire;sodium;Place de la Gare;46,7815608;6,640634316;2015;à remplacer;
L-004;Lampadaire;sodium;Avenue de la Gare;46,78054;6,642407424;2013;usé;
